timestamp,container,cpu_pct,mem_usage,mem_limit,mem_pct
2026-02-22T12:30:57Z,sxng-exp-02,0.00%,100.6MiB,200MiB,50.28%
2026-02-22T12:30:57Z,sxng-exp-06,0.00%,96.6MiB,200MiB,48.30%
2026-02-22T12:30:57Z,sxng-exp-20,0.00%,83.68MiB,200MiB,41.84%
2026-02-22T12:30:57Z,sxng-exp-05,0.00%,95.57MiB,200MiB,47.78%
2026-02-22T12:31:03Z,sxng-exp-15,0.00%,96.95MiB,200MiB,48.47%
2026-02-22T12:31:03Z,sxng-exp-18,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:31:03Z,sxng-exp-08,0.00%,97.76MiB,200MiB,48.88%
2026-02-22T12:31:03Z,sxng-exp-04,0.00%,96.17MiB,200MiB,48.09%
2026-02-22T12:31:03Z,sxng-exp-10,0.00%,96.8MiB,200MiB,48.40%
2026-02-22T12:31:03Z,sxng-exp-11,0.00%,98.86MiB,200MiB,49.43%
2026-02-22T12:31:03Z,sxng-exp-13,0.00%,97.21MiB,200MiB,48.60%
2026-02-22T12:31:03Z,sxng-exp-17,0.00%,83.71MiB,200MiB,41.86%
2026-02-22T12:31:03Z,sxng-exp-19,0.00%,83.71MiB,200MiB,41.85%
2026-02-22T12:31:03Z,sxng-exp-07,0.00%,96.11MiB,200MiB,48.05%
2026-02-22T12:31:03Z,sxng-exp-16,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:31:03Z,sxng-exp-12,0.00%,95.66MiB,200MiB,47.83%
2026-02-22T12:31:03Z,sxng-exp-14,0.00%,98.28MiB,200MiB,49.14%
2026-02-22T12:31:03Z,sxng-exp-03,0.00%,96.03MiB,200MiB,48.02%
2026-02-22T12:31:03Z,sxng-exp-01,0.00%,95.87MiB,200MiB,47.94%
2026-02-22T12:31:03Z,sxng-exp-09,0.00%,96.12MiB,200MiB,48.06%
2026-02-22T12:31:03Z,sxng-exp-02,0.00%,100.6MiB,200MiB,50.28%
2026-02-22T12:31:03Z,sxng-exp-06,0.00%,96.6MiB,200MiB,48.30%
2026-02-22T12:31:03Z,sxng-exp-20,0.00%,83.68MiB,200MiB,41.84%
2026-02-22T12:31:03Z,sxng-exp-05,0.00%,95.57MiB,200MiB,47.78%
2026-02-22T12:31:09Z,sxng-exp-15,0.00%,96.09MiB,200MiB,48.04%
2026-02-22T12:31:09Z,sxng-exp-18,0.00%,83.7MiB,200MiB,41.85%
2026-02-22T12:31:09Z,sxng-exp-08,0.00%,97.76MiB,200MiB,48.88%
2026-02-22T12:31:09Z,sxng-exp-04,0.00%,96.17MiB,200MiB,48.09%
2026-02-22T12:31:09Z,sxng-exp-10,0.00%,96.65MiB,200MiB,48.33%
2026-02-22T12:31:09Z,sxng-exp-11,0.00%,99.11MiB,200MiB,49.56%
2026-02-22T12:31:09Z,sxng-exp-13,0.00%,97.21MiB,200MiB,48.60%
2026-02-22T12:31:09Z,sxng-exp-17,0.00%,98.48MiB,200MiB,49.24%
2026-02-22T12:31:09Z,sxng-exp-19,0.00%,83.71MiB,200MiB,41.85%
2026-02-22T12:31:09Z,sxng-exp-07,0.00%,95.86MiB,200MiB,47.93%
2026-02-22T12:31:09Z,sxng-exp-16,0.00%,97.38MiB,200MiB,48.69%
2026-02-22T12:31:09Z,sxng-exp-12,0.00%,95.55MiB,200MiB,47.78%
